time_hr,q_solar_kw,t_pcm,pcm_melt,t_boiler,boiler_vol,tds_ppm,total_distilled_L,battery_soc,mineral_ppm
42.333333333333336,0.0,111.35603944627819,1.0,100.0,7.83652068185507,2809.9584574908804,159.03722572303982,97.37218933758844,50.0
42.35,0.0,111.15325302759464,1.0,100.0,7.76114873862756,2837.247205131493,159.11259766626733,97.37217267092177,50.0
42.36666666666667,0.0,110.95408779495902,1.0,100.0,7.687122722957684,2864.5695354279924,159.18662368193722,97.37215600425509,50.0
42.38333333333333,0.0,110.75847908433475,1.0,100.0,7.614418600424771,2891.921067493249,159.25932780447013,97.37213933758844,50.0
42.4,0.0,110.5663633864002,1.0,100.0,7.543012765794231,2919.297401581722,159.33073363910069,97.37212267092177,50.0
42.416666666666664,0.0,110.37767832592877,1.0,100.0,7.472882035353521,2946.694121907029,159.40086436954138,97.3721060042551,50.0
42.43333333333333,0.0,110.19236264153719,1.0,100.0,7.4040036393849675,2974.1067994815344,159.46974276550992,97.37208933758843,50.0
42.45,0.0,110.01035616579546,1.0,100.0,7.336355214772995,3001.5309949740786,159.5373911901219,97.37207267092177,50.0
42.46666666666667,0.0,109.83159980569197,1.0,100.0,7.269914797743379,3028.9622615819485,159.6038316071515,97.3720560042551,50.0
42.483333333333334,0.0,109.65603552344747,1.0,100.0,7.204660816732149,3056.396147913137,159.66908558816274,97.37203933758843,50.0
42.5,0.0,109.48360631767163,1.0,100.0,7.140572085381834,3083.828200874937,159.73317431951307,97.37202267092177,50.0
42.516666666666666,0.0,109.31425620485606,1.0,100.0,7.0776277956627744,3111.2539685648726,159.79611860923214,97.3720060042551,50.0
42.53333333333333,0.0,109.14793020119792,1.0,100.0,7.01580751111727,3138.6690031599965,159.85793889377766,97.37198933758845,50.0
42.55,0.0,108.98457430474797,1.0,100.0,6.955091160224363,3166.0688638005586,159.91865524467056,97.37197267092176,50.0
42.56666666666667,0.0,108.82413547787746,1.0,100.0,6.895459029883115,3193.4491194640777,159.9782873750118,97.3719560042551,50.0
42.583333333333336,0.0,108.66656163005823,1.0,100.0,6.836891759012247,3220.8053518258735,160.03685464588267,97.37193933758843,50.0
42.6,0.0,108.51180160095004,1.0,100.0,6.779370332264073,3248.13315810214,160.09437607263084,97.37192267092176,50.0
42.61666666666667,0.0,108.35980514379021,1.0,100.0,6.722876073850688,3275.428153871682,160.15087033104422,97.37190600425511,50.0
42.63333333333333,0.0,108.21052290907967,1.0,100.0,6.667390641480399,3302.685975872499,160.2063557634145,97.37188933758844,50.0
42.65,0.0,108.06390642856039,1.0,100.0,6.612896020402436,3329.9022847694473,160.26085038449247,97.37187267092176,50.0
42.666666666666664,0.0,107.91990809947895,1.0,100.0,6.559374517558009,3357.072767889277,160.3143718873369,97.3718560042551,50.0
42.68333333333333,0.0,107.77848116913111,1.0,100.0,6.506808755835803,3384.193141919435,160.3669376490591,97.37183933758843,50.0
42.7,0.0,107.63957971968235,1.0,100.0,6.455181668430066,3411.2591555670824,160.41856473646484,97.37182267092177,50.0
42.71666666666667,0.0,107.50315865325945,1.0,100.0,6.4044764932994305,3438.2665921748953,160.4692699115955,97.3718060042551,50.0
42.733333333333334,0.0,107.36917367730838,1.0,100.0,6.354676767724699,3465.2112722902907,160.51906963717022,97.37178933758844,50.0
42.75,0.0,107.23758129021358,1.0,100.0,6.305766322963803,3492.089056184847,160.56798008193113,97.37177267092176,50.0
42.766666666666666,0.0,107.10833876717406,1.0,100.0,6.257729279002208,3518.895846320789,160.6160171258927,97.37175600425509,50.0
42.78333333333333,0.0,106.98140414633167,1.0,100.0,6.210550039397071,3545.6275897615374,160.66319636549784,97.37173933758844,50.0
42.8,0.0,106.85673621514718,1.0,100.0,6.164213286213454,3572.280280523431,160.70953311868146,97.37172267092177,50.0
42.81666666666667,0.0,106.73429449701955,1.0,100.0,6.118703975050972,3598.8499618658893,160.75504242984394,97.3717060042551,50.0
42.833333333333336,0.0,106.6140392381442,1.0,100.0,6.07400733015925,3625.332728517389,160.79973907473567,97.37168933758844,50.0
42.85,0.0,106.49593139460592,1.0,100.0,6.030108839640594,3651.7247288347967,160.8436375652543,97.37167267092175,50.0
42.86666666666667,0.0,106.37993261970225,1.0,100.0,5.986994250738342,3678.022166893716,160.88675215415657,97.3716560042551,50.0
42.88333333333333,0.0,106.26600525149328,1.0,100.0,5.944649565209345,3704.221304507694,160.92909683968557,97.37163933758843,50.0
42.9,0.0,106.15411230057376,1.0,100.0,5.90306103477908,3730.3184631742433,160.97068537011583,97.37162267092177,50.0
42.916666666666664,0.0,106.04421743806351,1.0,100.0,5.862215156677927,3756.3100259458224,161.01153124821698,97.3716060042551,50.0
42.93333333333333,0.0,105.93628498381239,1.0,100.0,5.8220986692571515,3782.1924392240594,161.05164773563777,97.37158933758843,50.0
42.95,0.0,105.83027989481573,1.0,100.0,5.782698547683175,3807.9622144756686,161.09104785721175,97.37157267092176,50.0
42.96666666666667,0.0,105.72616775383688,1.0,100.0,5.744001999708734,3833.6159298686625,161.1297444051862,97.3715560042551,50.0
42.983333333333334,0.0,105.62391475823264,1.0,100.0,5.705996461519551,3859.1502318276375,161.16774994337538,97.37153933758843,50.0
43.0,0.0,105.5234877089785,1.0,100.0,5.668669593655175,3884.5618365070563,161.20507681123976,97.37152267092176,50.0
43.016666666666666,0.0,105.42485399988959,1.0,100.0,5.632009277002663,3909.847531181623,161.24173712789226,97.37150600425511,50.0
43.03333333333333,0.0,105.32798160703442,1.0,100.0,5.596003608861802,3935.0041755530015,161.24173712789226,97.37148933758843,0.0
43.05,0.0,105.23283907833738,1.0,100.0,5.5606408990806,3960.0287029722967,161.24173712789226,97.37147267092176,0.0
43.06666666666667,0.0,105.13939552336707,1.0,100.0,5.525909666259777,3984.918121577861,161.24173712789226,97.3714560042551,0.0
43.083333333333336,0.0,105.04762060330694,1.0,100.0,5.49179863402504,4009.6695153481573,161.24173712789226,97.37143933758843,0.0
43.1,0.0,104.95748452110503,1.0,100.0,5.458296727365923,4034.280045069565,161.2752390345514,97.37142267092177,50.0
43.11666666666667,0.0,104.86895801179958,1.0,100.0,5.4253930690400045,4058.7469492191526,161.3081426928773,97.3714060042551,50.0
43.13333333333333,0.0,104.78201233301745,1.0,100.0,5.393076976041335,4083.06754476261,161.34045878587597,97.37138933758843,50.0
43.15,0.0,104.69661925564213,1.0,100.0,5.361337956131927,4107.239227867656,161.37219780578536,97.37137267092176,50.0
43.166666666666664,0.0,104.61275105464853,1.0,100.0,5.330165704435188,4131.259474533398,161.4033700574821,97.37135600425509,50.0
43.18333333333333,0.0,104.53038050010123,1.0,100.0,5.299550100090175,4155.125841136243,161.4339856618271,97.37133933758844,50.0
43.2,0.0,104.44948084831371,1.0,100.0,5.2694812029656095,4178.835964893101,161.4640545589517,97.37132267092177,50.0
43.21666666666667,0.0,104.37002583316526,1.0,100.0,5.239949250432554,4202.387564242744,161.49358651148475,97.3713060042551,50.0
